headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                Cardano whale dumps ADA positions to enter SUI and INTL for 5,550% rally in 2025                             
",06/11/2024,0.0,-0.4019,-0.20095,Slightly Bearish
"

                                Binance and CZ’s lawyers file motion to dismiss SEC’s lawsuit                            
",05/11/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Investor interest in SUI is fading away after fall from ATH                            
",04/11/2024,0.0,0.4588,0.2294,Slightly Bullish
"

                                Citadel Securities lawsuit proceeds against former employees’ crypto startup                            
",01/11/2024,0.0,0.0772,0.0386,Neutral
"

                                3 cryptos shaking up the market, causing investors to adapt: APT, SUI, and CYBRO                            
",31/10/2024,0.6,-0.1779,0.21105,Slightly Bullish
"

                                Suilend launches SpringSui to accelerate liquid staking on Sui                            
",31/10/2024,0.0,0.0,0.0,Neutral
"

                                SUI up over 10%, analyst eyes $6 if this happens                            
",30/10/2024,0.0,0.0,0.0,Neutral
"

                                SUI gains as $3m in shorts liquidated, DEX volume enters top 10                            
",29/10/2024,0.5,0.4939,0.49695,Bearish
"

                                Ethereum-based token Cutoshi takes over TON, SUI as CUTO surges 46% in presale                            
",29/10/2024,0.0,0.0,0.0,Neutral
"

                                Five altcoins that could soar in next bull run; SOL, SUI, Cybro leads                            
",28/10/2024,0.0,0.0,0.0,Neutral
"

                                FTX agrees to $228m settlement in ByBit lawsuit                            
",28/10/2024,0.0,-0.0258,-0.0129,Neutral
"

                                Experts say Sui is not a threat to Solana, but this new altcoin could be                            
",27/10/2024,0.13636363636363635,0.2235,0.1799318181818182,Neutral
"

                                SUI pushes to break bearish correction; XRP traders eye 100x alternative after SEC conflict                            
",27/10/2024,-0.1,-0.3182,-0.2091,Slightly Bearish
"

                                Victims to sue WazirX over $235m hack in class-action lawsuit                            
",26/10/2024,0.1,-0.4939,-0.19695000000000001,Neutral
"

                                Three crypto coins to watch in Q4: SUI, Pulsemate AI, and TON                            
",25/10/2024,0.0,0.0,0.0,Neutral
"

                                Solana & Sui whales move to DTX Exchange as it gets listed on CoinMarketCap                            
",24/10/2024,0.0,0.0,0.0,Neutral
"

                                Cutoshi’s investor pool skyrockets after listing on CMC; Sui, DOGE whales join presale                            
",24/10/2024,0.0,0.296,0.148,Neutral
"

                                Amid DOGE, SUI fluctuations, Cutoshi’s impressive utility attracts interest from crypto whales                            
",23/10/2024,1.0,0.8402,0.9200999999999999,Bullish
"

                                Sui Blockchain integrates with Google Cloud via ZettaBlock                            
",22/10/2024,0.0,0.0,0.0,Neutral
"

                                Crypto VC funding: Praxis takes home $525m, Blockstream follows suit with $210m                            
",19/10/2024,0.0,0.0,0.0,Neutral
"

                                Sui’s Mysten Labs launches Walrus Protocol public testnet for decentralized storage                            
",17/10/2024,0.0,0.0,0.0,Neutral
"

                                Experts say Lunex Network will mirror SUI price surge followed closely by Chainlink                            
",17/10/2024,0.0,0.0,0.0,Neutral
"

                                Fracture Labs accuses Jump trading of market manipulation in new lawsuit                            
",17/10/2024,0.13636363636363635,-0.6705,-0.2670681818181818,Slightly Bearish
"

                                Top 3 cryptos to buy now at low prices: Chainlink, Solana, SUI, and Cybro                            
",15/10/2024,0.25,-0.0772,0.0864,Neutral
"

                                POPCAT, SUI shine at new ATH; presale token FXGuys emerges as one to watch for gains                            
",15/10/2024,0.13636363636363635,0.34,0.2381818181818182,Slightly Bullish
"

                                Sui Foundation addresses $400m insider token sale, points to infrastructure partner                            
",15/10/2024,0.0,0.0,0.0,Neutral
"

                                NEIRO And SUI hold bullish momentum amid bearish wave, FXGuys predicted to soar past both coins                            
",13/10/2024,-0.25,0.0,-0.125,Neutral
"

                                SUI, CHZ, COIN: Top cryptocurrencies to watch this week                            
",13/10/2024,0.5,0.2023,0.35115,Slightly Bullish
"

                                Sui Network launches native USDC via NAVI protocol as FXGuys’ presale sets records                            
",13/10/2024,0.0,0.0,0.0,Neutral
"

                                Jupiter, Sui, and new hidden gem of DEX: Top 3 altcoins to buy before the bulls rally                            
",11/10/2024,0.15656565656565657,0.2023,0.1794328282828283,Neutral
"

                                Suirum: The Sui memecoin analysts predict will leave fud the pug & AXOL in the dust                            
",10/10/2024,0.0,-0.3182,-0.1591,Neutral
"

                                Sui network to launch native USDC via NAVI protocol                            
",09/10/2024,0.0,0.0,0.0,Neutral
"

                                Caroline Ellison turns in all her assets in FTX lawsuit settlement                            
",09/10/2024,0.0,-0.0516,-0.0258,Neutral
